i,eV,x_0,y_0,z_0,v_x,v_y,v_z,hit_p
152,3.488443e+01,5.404407,3.381950,-4.832680,-1.723267e+04,-1.078380e+04,1.540964e+04,1.006086e+00
153,3.526716e+01,-0.548850,7.402680,2.983136,1.759654e+03,-2.373356e+04,-9.564163e+03,1.006086e+00
154,3.532416e+01,0.868495,7.915798,0.765414,-2.786712e+03,-2.539916e+04,-2.455958e+03,1.006086e+00
155,3.590958e+01,0.850194,-0.122427,7.953753,-2.750503e+03,3.960695e+02,-2.573155e+04,1.006086e+00
156,3.599910e+01,7.520041,1.514936,-2.270232,-2.435873e+04,-4.907143e+03,7.353680e+03,1.006086e+00
157,3.629398e+01,-3.810239,6.974450,-0.916042,1.239248e+04,-2.268381e+04,2.979348e+03,1.006086e+00
158,3.673856e+01,-0.682417,0.472718,-7.956811,2.233056e+03,-1.546864e+03,2.603687e+04,1.006086e+00
159,3.689128e+01,2.420279,-2.659374,7.146326,-7.936260e+03,8.720270e+03,-2.343330e+04,1.006086e+00
160,3.689128e+01,-1.086357,-1.305200,-7.817690,3.562238e+03,4.279841e+03,2.563475e+04,1.006086e+00
161,3.697808e+01,3.112701,-7.142885,-1.813914,-1.021876e+04,2.344955e+04,5.954942e+03,1.006086e+00
162,3.713129e+01,3.532770,-1.265604,7.065252,-1.162182e+04,4.163480e+03,-2.324269e+04,1.006086e+00
163,3.718979e+01,-1.325689,1.987725,7.634887,4.364576e+03,-6.544204e+03,-2.513640e+04,1.006086e+00
164,3.743077e+01,3.442712,0.487875,-7.204840,-1.137113e+04,-1.611430e+03,2.379728e+04,1.006086e+00
165,3.763980e+01,-2.965848,-5.778083,-4.670921,9.823385e+03,1.913798e+04,1.547088e+04,1.006086e+00
166,3.773144e+01,2.524196,6.615119,3.724062,-8.370733e+03,-2.193704e+04,-1.234973e+04,1.006086e+00
167,3.779041e+01,3.253195,3.968374,6.137486,-1.079666e+04,-1.317019e+04,-2.036901e+04,1.006086e+00
168,3.788223e+01,-0.566991,-0.340221,7.972626,1.884009e+03,1.130492e+03,-2.649158e+04,1.006086e+00
169,3.794131e+01,0.149098,-1.918530,7.765115,-4.958123e+02,6.379895e+03,-2.582217e+04,1.006086e+00
170,3.803332e+01,6.969729,-3.523550,1.734205,-2.320528e+04,1.173144e+04,-5.773926e+03,1.006086e+00
171,3.824403e+01,3.711637,-6.627020,-2.511247,-1.239184e+04,2.212528e+04,8.384168e+03,1.006086e+00
172,3.824403e+01,-3.856612,-0.470881,6.993198,1.287587e+04,1.572105e+03,-2.334782e+04,1.006086e+00
173,3.833641e+01,-7.107808,-3.585696,-0.788571,2.375911e+04,1.198582e+04,2.635939e+03,1.006086e+00
174,3.848840e+01,-3.936734,-6.856639,-1.220096,1.318529e+04,2.296492e+04,4.086464e+03,1.006086e+00
175,3.879731e+01,-3.844038,-6.785346,-1.783942,1.292639e+04,2.281716e+04,5.998879e+03,1.006086e+00
176,3.895022e+01,-7.462068,2.883449,-0.057170,2.514217e+04,-9.715293e+03,1.926235e+02,1.006086e+00
177,3.910342e+01,7.823438,1.576964,-0.554071,-2.641154e+04,-5.323753e+03,1.870518e+03,1.006086e+00
178,3.925692e+01,2.579255,0.577544,7.550754,-8.724511e+03,-1.953585e+03,-2.554095e+04,1.006086e+00
179,3.935051e+01,-7.122436,-2.405076,-2.736148,2.412084e+04,8.145030e+03,9.266239e+03,1.006086e+00
180,3.935051e+01,1.102864,-7.916546,0.334641,-3.734960e+03,2.681017e+04,-1.133297e+03,1.006086e+00
181,3.950450e+01,-2.613075,-7.553984,0.330414,8.866736e+03,2.563232e+04,-1.121166e+03,1.006086e+00
182,3.987394e+01,-1.502766,-5.922363,5.164040,5.123003e+03,2.018963e+04,-1.760447e+04,1.006086e+00
183,3.996827e+01,-1.497277,7.821302,-0.765115,5.110324e+03,-2.669472e+04,2.611399e+03,1.006086e+00
184,4.002895e+01,0.698623,7.595753,-2.411734,-2.386265e+03,-2.594458e+04,8.237685e+03,1.006086e+00
185,4.012346e+01,3.737721,-2.047118,-6.770432,-1.278188e+04,7.000527e+03,2.315284e+04,1.006086e+00
186,4.018426e+01,0.307098,2.464520,-7.604724,-1.050980e+03,-8.434299e+03,2.602556e+04,1.006086e+00
187,4.033987e+01,-0.927665,-1.302713,-7.838519,3.180880e+03,4.466884e+03,2.687756e+04,1.006086e+00
188,4.043474e+01,0.752094,-0.923614,-7.910834,-2.581893e+03,3.170711e+03,2.715740e+04,1.006086e+00
189,4.049989e+01,4.608779,4.491541,-4.752390,-1.583440e+04,-1.543160e+04,1.632780e+04,1.006086e+00
190,4.049989e+01,1.924504,1.546566,7.609495,-6.612026e+03,-5.313540e+03,-2.614397e+04,1.006086e+00
191,4.059083e+01,-3.090432,4.573565,-5.790659,1.062972e+04,-1.573104e+04,1.991731e+04,1.006086e+00
192,4.065611e+01,-3.785099,6.808027,-1.823126,1.302953e+04,-2.343543e+04,6.275789e+03,1.006086e+00
193,4.090805e+01,0.189435,0.615520,-7.974036,-6.541134e+02,-2.125372e+03,2.753413e+04,1.006086e+00
194,4.096945e+01,-4.595798,0.235815,-6.543931,1.588107e+04,-8.148745e+02,2.261296e+04,1.006086e+00
195,4.122236e+01,1.945146,3.047247,7.136574,-6.742289e+03,-1.056240e+04,-2.473688e+04,1.006086e+00
196,4.147605e+01,-5.687188,5.299866,1.888731,1.977357e+04,-1.842690e+04,-6.566856e+03,1.006086e+00
197,4.147605e+01,-0.873270,-1.222746,7.857626,3.036238e+03,4.251320e+03,-2.731988e+04,1.006086e+00
198,4.153787e+01,1.955079,-1.464903,-7.617856,-6.802603e+03,5.097060e+03,2.650596e+04,1.006086e+00
199,4.163414e+01,0.376154,0.692406,7.961098,-1.310327e+03,-2.411981e+03,-2.773233e+04,1.006086e+00
200,4.169607e+01,-6.059473,-0.851309,5.153452,2.112375e+04,2.967725e+03,-1.796530e+04,1.006086e+00
201,4.201338e+01,-3.809684,-2.313621,-6.643303,1.333127e+04,8.096078e+03,2.324698e+04,1.006086e+00
202,4.211020e+01,7.203019,-2.858607,-1.986172,-2.523463e+04,1.001467e+04,6.958236e+03,1.006086e+00
203,4.217249e+01,3.286179,-3.055602,6.623015,-1.152112e+04,1.071273e+04,-2.321983e+04,1.006086e+00
204,4.226949e+01,-0.352280,-1.780937,7.791288,1.236488e+03,6.251019e+03,-2.734711e+04,1.006086e+00
205,4.233190e+01,1.615382,-1.535002,7.683379,-5.674112e+03,5.391772e+03,-2.698825e+04,1.006086e+00
206,4.249582e+01,-5.913534,3.407758,-4.173404,2.081176e+04,-1.199308e+04,1.468765e+04,1.006086e+00
207,4.258897e+01,2.046017,-4.891914,-5.990241,-7.208528e+03,1.723519e+04,2.110482e+04,1.006086e+00
208,4.275340e+01,6.362149,-4.838131,0.339926,-2.245835e+04,1.707857e+04,-1.199937e+03,1.006086e+00
209,4.275340e+01,-4.775571,4.628750,-4.446190,1.685774e+04,-1.633946e+04,1.569502e+04,1.006086e+00
210,4.281616e+01,7.068539,3.704118,0.561486,-2.497021e+04,-1.308511e+04,-1.983498e+03,1.006086e+00
211,4.297678e+01,0.045545,0.603886,-7.977045,-1.611918e+02,-2.137277e+03,2.823239e+04,1.006086e+00
212,4.329892e+01,-3.043305,-6.595860,3.351557,1.081117e+04,2.343142e+04,-1.190622e+04,1.006086e+00
213,4.329892e+01,0.502892,-1.760744,7.787611,-1.786496e+03,6.254945e+03,-2.766505e+04,1.006086e+00
214,4.339721e+01,-7.958959,0.809253,0.008612,2.830583e+04,-2.878086e+03,-3.062911e+01,1.006086e+00
215,4.355891e+01,3.235410,-1.452446,7.170950,-1.152807e+04,5.175201e+03,-2.555076e+04,1.006086e+00
216,4.362226e+01,6.713295,3.708374,2.275879,-2.393749e+04,-1.322289e+04,-8.115063e+03,1.006086e+00
217,4.378438e+01,4.538790,-1.069774,6.500382,-1.621393e+04,3.821557e+03,-2.322134e+04,1.006086e+00
218,4.381968e+01,2.573490,7.336695,-1.884157,-9.196991e+03,-2.621946e+04,6.733493e+03,1.006086e+00
219,4.398217e+01,-6.288199,-3.754896,3.218589,2.251403e+04,1.344389e+04,-1.152371e+04,1.006086e+00
220,4.404582e+01,-2.914532,-2.121245,7.141836,1.044263e+04,7.600321e+03,-2.558886e+04,1.006086e+00
221,4.420873e+01,7.626264,-0.220451,2.406555,-2.737502e+04,7.913260e+02,-8.638502e+03,1.006086e+00
222,4.420873e+01,3.124006,-6.690369,3.078888,-1.121384e+04,2.401556e+04,-1.105189e+04,1.006086e+00
223,4.447144e+01,-7.109834,0.908231,-3.553221,2.559698e+04,-3.269832e+03,1.279238e+04,1.006086e+00
224,4.463513e+01,2.187449,-6.873847,3.459088,-7.889783e+03,2.479288e+04,-1.247638e+04,1.006086e+00
225,4.470358e+01,-1.777196,3.035171,7.185354,6.414978e+03,-1.095577e+04,-2.593630e+04,1.006086e+00
226,4.470358e+01,-3.334252,-5.791020,4.398506,1.203534e+04,2.090330e+04,-1.587687e+04,1.006086e+00
227,4.480345e+01,-1.576694,-1.179938,-7.753824,5.697598e+03,4.263865e+03,2.801950e+04,1.006086e+00
228,4.480345e+01,-5.870558,-0.611979,5.400188,2.121406e+04,2.211470e+03,-1.951431e+04,1.006086e+00
229,4.519683e+01,3.660068,-6.310564,-3.283395,-1.328409e+04,2.290398e+04,1.191697e+04,1.006086e+00
